S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,CONTINENT OF STUDY,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
100,I,Komollo+Elvis,Journal,"An enumeration and mapping of informal settlements in Kisumu, Kenya, implemented by their inhabitants","(Karanja, 2010) ",Informal settlements,2010,Africa,African,Introduction,Growing number of nations over the past 10 years have seen formation of organizations and larger federations by the urban poor. These federations have helped in the detailed household enumerations in the illegal and informal settlements. Enumeration are essential parts of any slum upgrading programme especially when there are no official maps or data on households and existing infrastructure in the settlements that need to be upgraded.·         have seen formation of organizations and larger federations by the urban poor,"Federations

Enumeration

slum upgrading",Neutral,No,-,No,Descriptive,Conceptualization of slums,,,,,
101,I,Komollo+Elvis,Journal,Slum inhabitants' perceptions and decision-making processes related to an innovative sanitation service: Evaluating the Blue Diversion Toilet in Kampala (Uganda),"(O’Keefe et al., 2015) ",Slums,2015,Africa,African,Introduction,"9 out of 10 diarrhea cases are linked to inadequate sanitation, water and hygiene. This contributes to around 2 million deaths annually. This problem affect most urban informal settlements due to the high population density in these areas that cause buildup of large amount of waste causing diseases such as diarrhea and cholera. High density in informal settlements also causes a problem in the provision of adequate water and sanitation. The lack of high-level political leadership that aims to improve access to basic needs and improve the standards of living, lack of formal tenure and a temporary population and conflicting or weak government arrangements have also contributed to difficulty in the provision of improved sanitation in informal settlements. This has made the informal settlements’ residences to pay higher coast for basic needs relative to their income because they lack both economic and political power to obtain cheaper and better services.·         high population density in slums cause buildup of large amount of waste causing diseases such as diarrhea and cholera","Inadequate sanitation

High population density

basic needs

improved sanitation

Diseases",Negative,Yes,sampling,No,Diagnostic,,Sanitation,,,,
102,I,Komollo+Elvis,Journal,Community fire response in Nairobi's informal settlements,"(Ngau & Boit, 2020) ",Informal settlements,2020,Asia,African,Introduction,"There are high outbreaks of fire in Nairobi’s informal settlement which lead to loss of livelihoods and assets, serious injuries and loss of life. The exposure to frequent fire outbreaks in the informal settlements is linked to marginality, poverty, overcrowding and combustibility of construction materials in these areas. Improper use of electrical appliances, drunkenness, faulty electricity connections and improper disposal of wood ashes also contribute to fire outbreaks in informal settlements.·         The exposure to frequent fire outbreaks in the informal settlements is linked to marginality, poverty, overcrowding and combustibility of construction materials in these areas.","Fire outbreaks

Poor infrastrucrural provision

",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
103,I,Komollo+Elvis,Journal,"Preference for and characteristics of an appropriate sanitation technology for the slums of Kisumu, Kenya","(Simiyu, 2016) ",Slums,2016,Africa,African,Chapter 1,"Residents of informal settlements use open defecation as an alternative method of sanitation because they lack household sanitation facilities. The lack of household sanitation facilities in these settlements are due to challenges such as insecure land tenure, overcrowding and the difficulty in determining an appropriate sanitation technology.·         open defecation","Sanitation

",Negative,No,-,No,Diagnostic,,Sanitation,,,,
104,I,Komollo+Elvis,Journal,Tackling poverty in Nairobi's informal settlements: developing an institutional strategy,"(Alder, 1995) ",Slums,1995,Asia,European,Chapter 1,"The informal settlements within Nairobi houses more than half of the city’s residents. The majority of these residents are poor in terms of assets, income, environmental resources and access to resources thus termed as pockets of poverty.·         Slums as pockets of poverty.","resources

temporary structures

pockets of poverty",Negative,No,-,No,Diagnostic,,Poverty,,,,
105,I,Komollo+Elvis,Journal,"Reconceptualizing housing finance in informal settlements: the case of Dar es Salaam, Tanzania","(Sheuya, 2007) ",Slums,2007,Africa,African,Chapter 1,Low-income households in informal settlements lack access to formal housing finances thus making them to largely depend on informal housing finance mechanism and microfinance institutions established by donors and non-governmental organizations·         lack access to formal housing finances,"formal housing finances

 informal housing finance mechanism

microfinance institutions",Negative,No,-,No,Prescriptive,,,Housing Financing,,,
106,I,Komollo+Elvis,Journal,"Flood disaster vulnerability in informal settlements in Bursa, Turkey","(Ta? et al., 2013) ",Slums,2013,Europe,Asian,Chapter 1,Families with low incomes live in poor quality buildings in disaster risk areas in cities such as areas with risk of landslides and flood plains. This has resulted to most informal settlements being affected by flood disaster.·         live in poor quality buildings in disaster risk areas in cities,"poor quality buildings

disaster risk areas

 flood disaster.",Negative,No,-,No,Diagnostic,,Poor Buildings Quality,,,,
107,I,Komollo+Elvis,Journal,Bridging Weak Links of Solid Waste Management in Informal Settlements,"(Gutberlet et al., 2016) ",Slums,2016,Asia,European,Chapter 1,In the urban south more than one third of urban population is living in informal settlement. The weakness of the local governments has resulted to poor connection of basic services in these neighborhoods including collection and management of household waste. §  Weak local government," local governments

weakness

 poor connection of basic services

management of household waste",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
108, II,KORIR BRIAN,Book,Squatter Settlements: The Problem and the Opportunity,Charles Abrams,Ghettos,1966,South America,American,Introduction,"In order to establish a presence in urban areas, millions of individuals, in defiance of legal and property rights, have occupied land and constructed makeshift homes.","indecent, filthy",Negative,No,-,No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Google Books
109, II,KORIR BRIAN,Book,Inquiries into Ghetto Culture and Community,"U Hannerz,",Ghettos,1969,America,American,Abstract,Culture of poverty,"Impoverished, violent",Negative,No,-,No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,ERIC
110, II,KORIR BRIAN,Book,The Spirit of the Ghetto,Hutchins Hapgood,Ghettos,1983,America,American,Introduction,Old communities which try to transition into the modern world,naïve,Negative,No,-,No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Google Books
111, II,KORIR BRIAN,Book,Urban squatter housing in third world,AR Basu,Ghettos,1988,Asia,American,Abstract,examining low income housing and the changing policies of governments towards it.,"shabby, dichotomy, disorganized",Negative,Yes,"India, Census. Kenya National Beraeu of statics.",Yes,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Google Books
112, II,KORIR BRIAN,Book,Squatter citizen: life in the urban Third world,"Jorge E. Hardoy, David Satterthwaite",Informal settlements,1989,America,American,Introduction,"Plan, build with no help from proffesionals. Make the best use of limited resources and form their own community organizations.","impoverished, disorganized, indecent, segragated, illegal",Negative,No,-,No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Google Books
113, II,KORIR BRIAN,Journal,Urbanization revisited: Inner-City Slum of hope and squatter settlement of despair,Susan Eckstein ,Ghettos,1990,South America,American,Introduction,"Some argued that slums in Third World cities were characterized by stagnation, decay, and were perceived as zones of blight, indifference, and hopelessness.","Decay, hopelessness, filthy",Negative,Yes,"Sampling, Literature Review, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps","livelihood improvement, slum upgrading",-,,Science Direct
114, II,KORIR BRIAN,Book,The Challenge of Slums. Global Report on Human Settlements,United Nations Human Settlement Programme,Informal settlements,2003,America,American,Abstract,Spatial manifestation of urban poverty and intracity inequality. However slums do not accommodate all urban poor nor all slum dwellers are poor.,"impoverished, indecent, filthy, opportunity-rich",Negative,Yes,"UN Habitat, 2003",Yes,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Google Books
115, II,KORIR BRIAN,Book,Unlawful occupation: Informal settlements and urban policy in South Africa and Brazil,Huchzemeyer,Slums,2004,Africa,American,Introduction,"Informal settlements, countless shacks, their residents unlawfully occupying seemingy worthless land-this has become a familiar scene in the South African Urban and peri-urban landscape.","unlawfully development, disorderly,disorganised,worthless",Negative,No,-,No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Google Books
116, II,KORIR BRIAN,Book, Impact evaluation for slum upgrading interventions,"Erica Field, Michael Kremer",Informal settlements,2006,Africa,American,Introduction,Improving well being of low incom communities,"problem, scarcity",Negative,Yes,"2003 United Nations Global Report on Human Settlements, World Bank",Yes,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Havard
117, II,KORIR BRIAN,Book,Informal Settlements: A Perpetual Challenge?,"Marie Huchzermeyer, Aly Karam",Informal settlements,2006,Africa,American,Abstract,Informal settlements are a shameful feature of poverty and inherited inequalities in South Africa,"impoverished, inequality, filthy, dirty, disorgainsed",Negative,No,-,No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Google Books
118, II,KORIR BRIAN,Journal,"Patterns and determinants of breastfeeding and complementary feeding practices in urban informal settlements, Nairobi Kenya","Elizabeth W Kimani-Murage, Nyovani J Madise, Jean-Christophe Fotso, Catherine Kyobutungi, Martin K Mutua, Tabither M Gitau & Nelly Yatich ",Informal settlements,2011,Africa,American,Abstract,Little evidence exists on breastfeeding and infant feeding practices in urban slums in sub-Saharan Africa. Our aim was to assess breastfeeding and infant feeding practices in Nairobi slums with reference to WHO recommendations.,"impoverished, dirty, filthy",Negative,Yes,"Sampling,interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-11-396
119, II,KORIR BRIAN,Journal,Affordable housing as a method for informal settlements sustainable upgrading,"A El Menshawy, S Shafik",Informal settlements,2016,Europe,American,Abstract,"This research investigates the potential of affordable housing to upgrade informal settlements in developing countries. It explores the link between affordable housing and informal settlement improvement, emphasizing strategies and examples to highlight its viability.","disorganised, infrastructural scarcity, filthy",Negative,Yes,"sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps","Slum upgrading, livelihood improvement",-,,Science Direct
120, II,KORIR BRIAN,Journal,Life in a slum: Understanding living conditions in Nairobi's slums across time and space,"Bird J,Montebruno P,Regan T",Slums,2017,Africa,American,Abstract,"This paper overviews the role of slums in urban Africa, focusing on Nairobi. It reveals the characteristics of slums and how these have changed over time. Spatially disaggregated data show that slum areas are very dense with poor-quality buildings, lacking access to key services such as sewage disposal and electricity. However, improvements to building quality, public-service provision, and socio-economic characteristics are mostly outpacing those seen in the formal sector. Measures such as child health and school attendance have caught up or are on pace to catch up in the near future with the formal sector, while improvements in building quality and service provision are advancing more slowly. We find significant heterogeneity across the city, and in particular that central slums look to be 'stuck' with low-quality buildings and poor service provision, though not with low socio-economic indicators. We explore potential explanations for why slums located on highly prized land near the centre may be stuck with poor infrastructure.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,planning,"Improvement of life,livelihood improvement",-,,http://dx.doi.org/10.1093/oxrep/grx036
121, II,KORIR BRIAN,Journal,Slum upgrading and health equity,"Corburn J,Sverdlik A",Slums,2017,Africa,American,Abstract,"Informal settlement upgrading is widely recognized for enhancing shelter and promoting economic development, yet its potential to improve health equity is usually overlooked. Almost one in seven people on the planet are expected to reside in urban informal settlements, or slums, by 2030. Slum upgrading is the process of delivering place-based environmental and social improvements to the urban poor, including land tenure, housing, infrastructure, employment, health services and political and social inclusion. The processes and products of slum upgrading can address multiple environmental determinants of health. This paper reviewed urban slum upgrading evaluations from cities across Asian, Africa and Latin Americann and found that few captured the multiple health benefits of upgrading. With the Sustainable Development Goals (SDGs) focused on improving well-being for billions of city-dwellers, slum upgrading should be viewed as a key strategy to promote health, equitable development and reduce climate change vulnerabilities. We conclude with suggestions for how slum upgrading might more explicitly capture its health benefits, such as through the use of health impact assessment (HIA) and adopting an urban health in all policies (HiAP) framework. Urban slum upgrading must be more explicitly designed, implemented and evaluated to capture its multiple global environmental health benefits.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,planning,"Improvement of life,livelihood improvement",-,,http://dx.doi.org/10.3390/ijerph14040342
122, II,KORIR BRIAN,Journal,Slum upgrading in developing countries: lessons from Ghana and Kenya,"Danso-Wiredu EY,of Geography EM,2017 U",Slums,2017,Africa,American,Abstract,"The proliferation of slums in many cities of the developing countries has been widely discussed in the literature as a great concern to most countries. The complexities of the slum problem make upgrading difficult. To help reduce such complexities, there have been studies focussed on measures put in place by various governments and organisations to help find solutions to the problem. The article analyses some slum upgrading projects discussed in the literature which are deemed to have been successful. The paper identifies common elements in the upgrading programmes in the literature. It assesses two slum upgrading projects from Ghana and Kenya to determine how the elements were factored into the projects' implementation. The article concludes that stakeholders involved in slum upgrading in Africa should consider the common elements identified to ensure sustainable slum upgrading on the continent.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"planning, policy gaps, land tenure","Improvement of life,livelihood improvement",-,,
123, II,KORIR BRIAN,Journal,Conceptualising slum in an urban African context,"Smit S,Musango JK,Kovacic Z,Brent AC",Slums,2017,Africa,American,Abstract,"Increasing urbanisation and the proliferation of slums require a holistic understanding of the urban metabolism of cities. However, existing urban metabolic analyses exclude a detailed understanding of how urban slums function and contribute to biophysical, including energy, flows. This paper aims at filling this gap by critically investigating the notion of the urban slum in general, the extent to which it differs in the African context, specifically in South Africa, and broadening the understanding of urban slum based on the concept of urban metabolism, using the multi-scale integrated analysis of societal and ecosystem metabolism (MuSIASEM) approach, which was applied to the Enkanini informal settlement in Stellenbosch, South Africa. The analysis shows that South Africa has a more nuanced typology of the notion of urban slums categorised as: (i) townships; (ii) housing-turned-slum; (iii) squatter camps; (iv) site and service settlements; (v) transit camps; and (vi) hybrid multi-structured settlements. Beyond these definitions, the case study illustrates that urban slums, however defined, are complex systems with their own internal flows and processes that are connected in a myriad of ways to the larger urban system. The investigation into the use of Time, Money and Energy in the Enkanini case further revealed the productive (hypercyclic) and consumptive (dissipative) nature of the components of the urban informal settlement. This type of analysis reveals new insights into the linkages between urban informal settlements and the city.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,planning,-,-,,http://dx.doi.org/10.1016/j.cities.2016.12.018
124, II,KORIR BRIAN,Journal,"Urban Slum Morphology and Socio-economic Analogies: A Case Study of Kibera Slum, Nairobi, Kenya",Mukeku J,Slums,2018,Africa,American,Abstract,"Narratives around slums tend to amplify their negative attributes, often based on a sensorial assessment of their environment. This article talks about a study carried out in Kibera, the second largest slum in Africa located in Nairobi, Kenya, which examines how slums are morphologically constituted with respect to their socio-economic settings. The study stems from the authorâ€™s several years of work as a community design architect on slum upgrading projects, many of which were of a participatory nature. Given that slums exist outside of formal planning and lack documented development records, a basic approach to studying slums was adopted. This article uses analogies to expound on the link between the spatial-temporal formation of the slum and the socio-economic activities and practices of its residents. It goes on to show the crucial need for slum upgrading programmes to pay attention to this strong yet hidden interrelationship in order to meet the needs of the beneficiaries in a sustainable manner.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"planning, policy gaps","Slum upgrading,livelihood improvement",-,,http://dx.doi.org/10.1177/2455747118790581
125, II,KORIR BRIAN,Journal,From Informal Settlements to sustainable communities,"Dina Mamdouh Nassar, Hanan Gamil Elsayed",Informal settlements,2018,Africa,American,Abstract,Informal Settlements and urban informality is a serious and common problem in Third World countries. These settlements are not marginal actors in the real estate market. They play an important role affecting greatly the housing supply and demand market.,"problematic, impoverished, squalor",Negative,Yes,"Sampling,interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Science Direct
126, II,KORIR BRIAN,Journal,The Similar size of slums,"John Friesen, Micael Wurm, Hannes Taubenbock, Peter Pelz",Informal settlements,2018,Africa,American,Introduction,"These informal settlements are often characterized by the poor living conditions of their inhabitants, which are strongly related to the often poorly developed infrastructure, having a negative impact on different areas of life, such as health or education...","impoverished,scarcity",Negative,Yes,Sampling,No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Science Direct
127, II,KORIR BRIAN,Journal,"Understanding living conditions and deprivation in informal settlements of Kisumu, Kenya","Sheila Simiyu, Sandy Cairncross, Mark Swilling",Informal settlements,2019,Africa,American,Abstract,This study reveals three levels of improvement in Kisumu's informal settlements;,"infrastructural scarcity, impoverisged, insecure tenure",Positive,Yes,"Sampling,interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,"https://link.springer.com/article/10.1007/s12132-018-9346-3#:~:text=This%20study%20reveals%20three%20levels,at%20the%20household%20level%20through"
128, II,KORIR BRIAN,Journal,Mapping the visibility of informal settlements,"Hesam Kamalipour, Kim Dovey ",Informal settlements,2019,Africa,American,Introduction,"The enduring difference between favelas and the rest of the city is the enduring stigma associated with both the settlements and their inhabitants. Despite extensive improvement efforts, it's clear where the division lies – the visual distinctions are unmistakable, whether observed from above or at ground level.","dangerous, fear, stigma, impoverished, scarcity",Positive,Yes,"Sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Science Direct
129, II,KORIR BRIAN,Journal,"A Systematised Review of the Health Impact of Urban Informal Settlements and Implications for Upgrading Interventions in South Africa, a Rapidly Urbanising Middle-Income Country","Amy Weimann, Tolu Oni",Informal settlements,2019,Africa,American,Introduction,inhabitants of informal settlements experience social and spatial marginalisation and thus are confronted with an increased risk to mental and overall wellbeing,"marginalised, unhealthy",Positive,Yes,"Sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,MDPI
130, II,KORIR BRIAN,Journal,"Malnutrition, morbidity and infection in the informal settlements of Nairobi, Kenya: an epidemiological study","Maria Vittoria De Vita, Carlo Scolfaro, Bruna Santini, Antonella Lezo, Federico Gobbi, Dora Buonfrate, Elizabeth W. Kimani-Murage, Teresiah Macharia, Milka Wanjohi, Jacopo Mattia Rovarini & Gianfranco Morino ",Other,2019,Africa,American,Abstract,"Urban poverty and malnutrition have been on the rise, with an increased rate of morbidity. The research explores the relationship between infections and nutritional status and the related association with hygienic conditions as risk of infection in children residing in the slums of Nairobi.","impoverished, malnutritioned, filthy, unhygienice, disorderly, disorganized",Negative,Yes,"sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Italian Journal
131, II,KORIR BRIAN,Journal,Vulnerability of informal settlements in the context of rapid urbanization and climate change,"David Samuel Williams, María Máñez Costa, Jürgen Scheffran",Slums,2019,Africa,American,Abstract,"Rapid urbanization and climate change make poor urban communities more susceptible to natural disasters, eroding urban resilience. To better grasp this vulnerability, we need to study local factors and their interactions. Identifying what hinders or supports these communities in disaster response is vital for policymaking. We're using participatory modeling in a Durban, South Africa, case study to bridge the gap between empirical research and theoretical knowledge about urban vulnerability and resilience amid urbanization and climate change.","Resilience erosion, impoverished,disoderly, problematic, infrastructural scarcity",Negative,Yes,"sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps","slum upgrading, ",-,,Sage Journals
132, II,KORIR BRIAN,Journal,Towards a morphogenesis of informal settlements,"Kim Dovey, Matthijs van Oostrum, Ishita Chatterjee, Tanzil Shafique",Informal settlements,2020,Africa,American,Abstract,"This is a nascent study that begins to reveal the ways in which informal settlement works to produce habitable land, affordable housing and public space. ",disorganised ,Positive,Yes,"Sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Science Direct
133, II,KORIR BRIAN,Journal,"Globalization and slums: How do economic, political, and social globalization affect slum prevalence?","Byungwon Woo,Hee-Jung Jun B",Informal settlements,2020,Africa,American,Introduction," Politically, more social unrest breeds in slums","disturbance, problematic",Negative,Yes,UN-Habitat,Yes,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Science Direct
134, II,KORIR BRIAN,Journal,Understanding the development patterns of informal settlements in Nairobi,"Haruka Ono, Tetsuo Kidokoro",Other,2020,Africa,American,Introduction,"Both ""slums,"" marked by inadequate housing, limited infrastructure, and deprived residents, and supposedly ""decent"" neighborhoods with formal planning and middle- to high-income residents have been created through extralegal means.","impoverished,scarcity, disorderly",Positive,Yes,"sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Wiley Online Library
135, II,KORIR BRIAN,Journal,"Population Density and Spatial Patterns of Informal Settlements in Nairobi, Kenya","Hang Ren, Wei Guo,Zhenke Zhang,Leonard Musyoka Kisovi,Priyanko Das",Other,2020,Africa,American,Chapter 1,"Nairobi's informal settlements, crucial for sustainable development planning, have seen changing population patterns. Analyzing data from 2000, 2010, and 2020, we found that these settlements are hubs for population growth, mostly situated 4-8 km from the city center. Population density is positively correlated with proximity to the central business district within 4 km and negatively beyond 8 km. The choice of settlement location is determined by the balance between expected benefits and living costs. The study suggests urban planning measures for informal settlements, shedding light on urban population distribution in less developed countries.","impoverished, tenure insecurity, scarcity,informal housing",Positive,Yes,"sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,MDPI
136, II,KORIR BRIAN,Journal,Slum health: arresting COVID-19 and improving well-being in urban informal settlements,"J Corburn, D Vlahov, B Mberu, L Riley, WT Caiaffa",Squatter Settlements,2020,Africa,American,Abstract,"The informal settlements of the Global South are the least prepared for the pandemic of COVID-19 since basic needs such as water, toilets, sewers, drainage, waste collection, and secure and adequate housing are already in short supply or non-existent.","filthy, congested settlements, dirty, disorgainsed, disorderly, infrastructural scarcity",Negative,No,-,No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Springer Link
137, II,KORIR BRIAN,Journal,Drivers of informal settlements at the peri-urban areas of Woldia: Assessment on the demographic and socio-economic trigger factors,"F Baye, F Wegayehu, S Mulugeta",Squatter Settlements,2020,Africa,American,Abstract,"Ethiopia's urbanization is on the rise, and Woldia, a Zonal town, is no exception. Its rapid expansion has led to urban challenges, notably the growth of informal settlements in peri-urban areas. This paper explores the key demographic and socio-economic factors driving this growth. Income inequality, high land lease prices, and inadequate compensation for land expropriation have contributed to informal settlements. Additionally, a growing urban population, inefficient land allocation, unaffordable housing, and rising rental costs further fuel this issue. These factors collectively lead to the unlawful and rapid expansion of built-up areas on the city's periphery.","impoverished, disorganised, disorderly",Negative,No,-,No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Science Direct
138, II,KORIR BRIAN,Journal,Slum decay in Sub-Saharan Africa,Amegah AK,Slums,2021,Africa,American,Abstract,"These practices include use of biomass fuel for cooking and heating, rampant burning of garbage at home as a waste management strategy, open defecation, and littering among several others.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"policy gaps, planning,public health",Slum upgrading,-,,http://dx.doi.org/10.1097/ee9.0000000000000158
139, II,KORIR BRIAN,Journal,"Health, quality of life, and wellbeing of older slum dwellers in sub-Saharan Africa: A scoping review","Alaazi DA,Menon D,Stafinski T",Slums,2021,Africa,American,Abstract,"A growing population of older adults resides in sub-Saharan Africaâ€™s urban slums. Although environmental conditions in slums are adversarial, there is limited knowledge on the wellbeing of older adults residing in these settings. This review sought to understand the scope, extent, and nature of current research on the health and wellbeing of older slum dwellers in sub-Saharan Africa. We searched 8 bibliographic databases for studies examining the health and wellbeing of older slum dwellers in the region. We also completed a grey literature search. The literature search together yielded 3,388 records, of which we selected 25 for review following a rigorous screening process. The included studies covered a variety of health issues of concern to older slum dwellers: (1) disease and injury prevalence; (2) self-assessed health and quality of life status; (3) physical/mental health impairment and disability; (4) healthcare access and utilisation; and (5) sociodemographic disparities in health and wellbeing. The gaps in this literature include a regional bias in research efforts, near absence of non-slum control samples, and limited research on the health impacts of the built environment of slums. Suggestions for future research are presented.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"policy gaps, planning,public health","Improvement of life,livelihood improvement",-,,http://dx.doi.org/10.1080/17441692.2020.1840610
140, II,KORIR BRIAN,Journal,Multi-Criteria Selection of Waste-to-Energy Technologies for Slum/Informal Settlements Using the PROMETHEE Technique: A Case Study of the Greater Karu Urban Area in Nigeria,"Ukpanyang D,Terrados-Cepeda J,Hermoso-Orzaez MJ",Slums,2022,Africa,American,Abstract,"Slum/informal settlements are an integral part of a city, with a population projected to reach 3 billion by 2030. It is also expected that the rate of waste generation will more than triple by 2050 in the cities of low-income countries of sub-Saharan Africa. At this rate, the risk to the environment and health of inhabitants are enormous, because the current waste management practices are not guided by legislation on proper use and disposal. This paper proposes the conversion of waste to energy as a solution to this problem. The aim of this study is to apply the PROMETHEE technique with a combination weighting method to obtain the most appropriate waste-to-energy technology for the slum/informal settlements of the Greater Karu Urban area in Nigeria. The findings reveal that the gasification technology outperformed the other technologies, and the affordability of electricity supply from this technology was determined by a general survey conducted on the slum/informal settlements.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"planning, policy gaps, land tenure",Slum upgrading,-,,http://dx.doi.org/10.3390/en15103481
141, II,KORIR BRIAN,Journal,South Africa Population Living In Slums,Economics T,Slums,2022,Africa,American,Abstract,"Population living in slums (% of urban population) in South Africa was reported at 25.6 % in 2018, according to the World Bank collection of development indicators, compiled from officially recognized sources. South Africa - Population living in slums - actual values, historical data, forecasts and projections were sourced from the World Bank on June of 2022.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"policy gaps, planning,public health",-,-,,
142, II,KORIR BRIAN,Journal,Clean water in the slums of East Africa,"Stelian T,Juhasz PG",Slums,2022,Africa,American,Abstract,"The study on the critical domain of human security, where researchers have come to realize the profound impact of water-related issues on the well-being and safety of human life. Water, being a fundamental resource, plays a pivotal role in determining the sense of security in human existence. In regions where water is scarce, life itself becomes precarious, and safety is compromised. Equally concerning are areas where water is available but of inadequate quality, posing a significant threat to the health of living organisms.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,planning,-,-,,http://dx.doi.org/10.9770/ird.2022.4.3(2)
