S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
651,II,SIAMA PHILBERT,Journal,Correlates of suicide ideation and attempt among youth living in the slums of Kampala,"Swahn MH,Palmier JB,Kasirye R,Yao H",Slums,2012,African,African,Abstract,"While suicidal behavior is recognized as a growing public health problem world-wide, little is known about the prevalence and risk factors for suicidal behaviors among street and slum youth in Africa, and in Uganda, specifically. The number of youth who live on the streets and in the slums of Kampala appears to be growing rapidly, but their mental health needs have not been documented, which has hampered resource allocation and service implementation. This study of youth, ages 14-24, was conducted in May and June of 2011, to assess the prevalence and correlates of suicidal behavior. Participants (N = 457) were recruited for a 30-minute interviewer-administered survey through eight drop-in centers operated by the Uganda Youth Development Link for youth in need of services. Bivariate and multivariate logistic regression analyses were computed to determine associations between psychosocial correlates and suicide ideation and suicide attempt. Reporting both parents deceased Adj.OR = 2.36; 95% CI: 1.23-4.52), parental neglect due to alcohol use (Adj.OR = 2.09; 95% CI: 1.16-3.77), trading sex for food, shelter or money (Adj.OR = 1.95; 95% CI: 1.09-3.51), sadnesss (Adj.OR = 2.42; 95% CI: 1.20-4.89), loneliness (Adj.OR = 2.67; 95% CI: 1.12-6.40) and expectations of dying prior to age 30 (Adj.OR = 2.54; 95% CI: 1.53-4.23) were significantly associated with suicide ideation in multivariate analyses. Parental neglect due to alcohol use (Adj.OR = 2.04; 95% CI: 1.11-3.76), sadness (Adj.OR = 2.42; 95% CI: 1.30-7.87), and expectations of dying prior to age 30 (Adj.OR = 2.18; 95% CI: 1.25-3.79) were significantly associated with suicide attempt in multivariate analyses. Given the dire circumstances of this vulnerable population, increased services and primary prevention efforts to address the risk factors for suicidal behavior are urgently needed. Â© 2012 by the authors; licensee MDPI, Basel, Switzerland.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,planning,Slum upgrading,-,,http://dx.doi.org/10.3390/ijerph9020596
652,II,SIAMA PHILBERT,Journal,Towards African cities without slums,Racelma K,Slums,2012,Asian,Asian,Abstract,"Poor district in Algeriaâs capital, Algiers. Most North African countries have made progress in reducing slum areas. Photograph: Africa Media Online / Ricardo GangaleMillions of Africans live inm dwellers, but also preventi slums, and the rapid growth of African cities is compounding the problem. Africa faces the huge challenge of âimproving the lives of slung the formation of","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,planning,"Improvement of life,livelihood improvement",-,,http://dx.doi.org/10.18356/aef55047-en
653,II,SIAMA PHILBERT,Journal,"Motivations for slum dweller social movement participation in urban Africa: A study of mobilization in Kurasini, Dar es Salaam","Hooper M,Ortolano L",Slums,2012,North American,North American,Abstract,"This paper examines what motivates the participation of African slum(1) dwellers in urban social movement activities. This issue is analyzed through a case study of grassroots mobilization around evictions in Kurasini ward, Dar es Salaam, Tanzania. The paper uses an analytic narrative approach to account for patterns in participatory behaviour, drawing on both quantitative and qualitative data gathered through interviews with 81 slum dwellers. The study shows that, contrary to the expectations of movement leaders, property owners were significantly more likely than renters to participate in a risky and time-consuming mobilization effort. The study identifies three factors that favoured owner participation: the nature of expected payoffs from participation; greater belief in their efficacy of action; and greater connection to place. Â© 2012 International Institute for Environment and Development (IIED).","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health",-,-,,http://dx.doi.org/10.1177/0956247811435889
654,II,SIAMA PHILBERT,Journal,Effect of mother's education on child's nutritional status in the slums of Nairobi,"Abuya BA,Ciera J,Kimani-Murage E",Slums,2012,African,African,Abstract,"Background: Malnutrition continues to be a critical public health problem in sub-Saharan Africa. For example, in East Africa, 48 % of children under-five are stunted while 36 % are underweight. Poor health and poor nutrition are now more a characteristic of children living in the urban areas than of children in the rural areas. This is because the protective mechanism offered by the urban advantage in the past; that is, the health benefits that historically accrued to residents of cities as compared to residents in rural settings is being eroded due to increasing proportion of urban residents living in slum settings. This study sought to determine effect of mother's education on child nutritional status of children living in slum settings.Methods: Data are from a maternal and child health project nested within the Nairobi Urban Health and Demographic Surveillance System (NUHDSS). The study involves 5156 children aged 0-42 months. Data on nutritional status used were collected between October 2009 and January 2010. We used binomial and multiple logistic regression to estimate the effect of education in the univariable and multivariable models respectively.Results: Results show that close to 40 % of children in the study are stunted. Maternal education is a strong predictor of child stunting with some minimal attenuation of the association by other factors at maternal, household and community level. Other factors including at child level: child birth weight and gender; maternal level: marital status, parity, pregnancy intentions, and health seeking behaviour; and household level: social economic status are also independently significantly associated with stunting.Conclusion: Overall, mothers' education persists as a strong predictor of child's nutritional status in urban slum settings, even after controlling for other factors. Given that stunting is a strong predictor of human capital, emphasis on girl-child education may contribute to breaking the poverty cycle in urban poor settings. Â© 2012 Abuya et al.; licensee BioMed Central Ltd.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health","Slum upgrading,livelihood improvement",-,,http://dx.doi.org/10.1186/1471-2431-12-80
655,II,SIAMA PHILBERT,Journal,'We did the Slum!' - Urban Poverty Tourism in Historical Perspective,Steinbrink M,Slums,2012,European,European,Abstract,"Slum tourism in the Global South is a relatively new phenomenon. The tourist gaze at the poverty of the Others is long established, though. This paper is concerned with the genesis of urban poverty tourism. By placing the phenomenon of slumming in the wider realm of the social upheavals in Victorian London and early twentieth century USA, the historical review first explains its dependency on the social context determining its emergence and evolution. Secondly, slum tourism is shown to be adequately understood only if seen as part of modern city tourism. Thirdly, it is demonstrate that the culturalization of poverty attains special significance in slum tourism. Fourthly, the history of slum tourism is shown to have implications for understanding present-day slum tourism in the Global South, using South Africa as an example. The article is designed to be a first step towards understanding the conditions, forms and consequences of globalization of slum tourism and the process of constructing the global slum as a universal type of tourist destination. Â© 2012 Copyright Taylor and Francis Group, LLC.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,planning,Slum upgrading,-,,http://dx.doi.org/10.1080/14616688.2012.633216
656,II,SIAMA PHILBERT,Journal,"Urban Slums as Spatial Manifestations of Urbanization in Sub- Saharan Africa: A Case Study of Ajegunle Slum Settlement, Lagos, Nigeria","Morakinyo KO,Ogunrayewa MO,Olalekan KB,Adenubi OO",Slums,2012,African,African,Abstract,"The emergence and existence of slums worldwide is a sign that the slums are crucial elements of contemporary urbanization, so the proliferation of slums is as a result of rapid development of urban areas in the developing countries (DCs). Slums are emerging as dominant informal settlements in many cities of the Sub- Saharan Africa, The need for housing is physiological, As it serves as an abode for almost all human activities in that even those who cannot afford still need them, hence, Slum is one of the great challenge of housing facing metropolitan Lagos which resulted basically as a result of large scale migration from rural â urban migration. Slums are fast becoming major spatial manifestations of urbanization and poverty as a result of the continuous influx of people, especially the poor into Lagos metropolis. About eight per cent of African populations had no homes and more than half of African urban dwellers lacked one of the five basic conditions required for a decent housing like water supply, adequate sanitation, durable housing, adequate living space and secure tenure. This study contextually discusses this urban phenomenon and vital causes of rapid urbanization, aftermath of these actions. It also shows the extent to which the poor are deprived access to decent and affordable housing. The methodology employed for this study is literature search and case study. It focuses on Ajegunle slums in Lagos, Finally the paper concludes by suggesting recommendations that will also help to provide adequate shelter for the urban poor and urban homeless people in Lagos. Keywords : Urban Slum, Urbanization, Poverty, Urban poor, Ajegunle, Sub- Saharan Africa Lagos and Nigeria.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,planning,-,-,,
657,II,SIAMA PHILBERT,Journal,'Bankable Slums': The global politics of slum upgrading,Jones BG,Slums,2012,North American,North American,Abstract,"This article develops a critical analysis of the Slum Upgrading Facility, a new initiative of UN-Habitat which seeks to improve conditions for residents of slums in Africa and elsewhere. The analysis highlights the neoliberal principles underpinning this initiative, and especially the vision of slum improvement by means of financialisation. The article argues that it is necessary and important to recognise the politics of international urban development and housing, which has since the 1970s increasingly emphasised neoliberal principles of private property and market institutions. The novel ambition of financialisation must also be situated in relation to historical transformations of housing finance in Anglo-Africann capitalism over the past three decades. After situating the ideological principles underpinning the Slum Upgrading Facility in these longer and broader global trajectories of international policy, the final section returns to the present to examine other initiatives currently being pursued alongside slum upgrading: the active promotion of mortgage markets in Africa. Â© 2012 Copyright Taylor and Francis Group, LLC.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"planning, policy gaps, types of houses, land tenure","improvement of life,livelihood improvement",-,,http://dx.doi.org/10.1080/01436597.2012.679027
658,II,SIAMA PHILBERT,Book,"Life, Death and Hope in a Mumbai Slum",Katherine Boo,Informal Settlements,2012,North American,North American,Abstract,"lack of opportunities, dumping sites.","Opportunity-poor, impoverished, filthy, dirty, scarcity",Negative,No,-,No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,
659,II,SIAMA PHILBERT,Journal,Discussion of random and informal settlements in Damascus,Yassar Khadour and Main Kafa,Informal Settlements,2012,Asian,Asian,Introduction,Urbanization frequently occurs alongside the expansion of informal settlements where urban informality serves as a method for delivering housing and shelter.,"disorganized,",Negative,No,"2004 Census, Ministry of Local Administration and Environment.",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,
660,II,SIAMA PHILBERT,Journal,Characterizing Slums and Slum-Dwellers: Exploring Household-level Indonesian Data,Shah Irvine,Informal Settlements,2012,Asian,Asian,Introduction,Relation between socio-economic attributes of households and slum-like dwelling characteristics,"diseased, insecure, disorganized",Negative,No,"Family Life Survey, UN Habitat, 2000",yes,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps","Improvement of life,livelihood improvement",-,,
661,II,SIAMA PHILBERT,Journal,"Bonding, Bridging and Linking Social Capital and
Empowerment Among Squatter Settlements in Tehran, Iran","Hamidreza Babaei, Nobaya Ahmad and Sarjit S. Gill",Informal Settlements,2012,Asian,Asian,Abstract,The growth of urban squatter settlements is a major problem in developing countries,"major poblem, filthy, indecent, dirty",Negative,No,"Sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health","slum upgrading, improvement of security, livelihood improvement",-,,Taylor & Francis Online
662,II,SIAMA PHILBERT,Journal,"Conflict and Resilience in an Urban Squatter Settlement in Dili, East Timor",James Scambary,Informal Settlements,2012,Asian,Asian,Abstract,"Rapid urban population growth has led to the emergence of densely populated and socially fragmented squatter settlements, presenting significant challenges for maintaining informal social order and community unity. These areas still grapple with persistent communal conflicts and gang violence.","violence, insecurity, social unrest, scarcity",Negative,No,"Sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps","Slum upgrading, improvement of security",-,,Sage Journals
663,II,SIAMA PHILBERT,Journal,"Gender-Based Violence in a Kenyan Slum: Creating Local, Woman-Centered Interventions",Elizabeth Swart,Informal Settlements,2012,European,European,Abstract,"Kiberan survey show a higher rate of gender-based violence among women than the general population of Kenya, it appears that interventions are urgently needed in the slum. At the same time, slum-dwelling women reported lower attitudinal tolerance of gender-based violence than the larger population,","violence, insecurity, social unrest, scarcity, impoverished, filthy",Negative,No,"Sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Taylor & Francis Online
664,II,SIAMA PHILBERT,Journal,"Serious Violence Victimization and Perpetration among Youth Living in the Slums of Kampala, Uganda.","Monica H Swahn, PhD, MPH, Lindsay Gressard, Jane B Palmier, J.D., Rogers Kasirye,  Catherine Lynch,  and Huang Yao,",Informal Settlements,2012,European,European,Introduction,victimization and perpetration of violence involving weapons among these vulnerable youth in slums.,"violence, insecurity, social unrest, scarcity, impoverished, filthy",Negative,No,"Sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,NCBI
665,II,SIAMA PHILBERT,Journal,"Mobile Imaginaries, Portable Signs: Global Consumption and Representations of Slum Life",Uli Linke,Other,2012,European,European,Abstract,This essay examines the production of iconic representations of slum life designed for consumption in European. It focuses on how the logics of spectacle and entertainment shape images of urban poverty. The commodification of slums involves detaching core images from their social context to create symbols that can be adapted to changing cultural desires in the capitalist market.,"Impoverished, scarcity,",Negative,No,-,No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Taylor & Francis Online
666,II,SIAMA PHILBERT,Journal,Upgrading Informal Settlements,D Satterthwaite,Slums,2012,European,European,Introduction,"Upgrading refers to the set of actions aimed at enhancing the housing quality and the delivery of housing-related infrastructure and services to areas officially labeled as 'slums' or those that have emerged through illegal development, such as squatter settlements. The extent of these improvements can range from minor enhancements, such as adding communal water sources, constructing paved roads, and installing street lighting, to comprehensive upgrades involving improved housing structures, high-quality infrastructure with individual piped water and sewer connections for each dwelling, and essential services like schools and healthcare centers. Upgrading initiatives may also encompass providing legal land tenure to the residents.","infrastructural scarcity, illegal developments,disorderly",Negative,No,-,No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Research Gate
667,II,SIAMA PHILBERT,Journal,Regeneration as an approach for the development of informal settlements in Cairo metropolitan,Ghada Farouk Hassan,Slums,2012,African,African,Abstract,"Traditional methods for informal settlement development are insufficient. Urban regeneration, emphasizing economic restructuring and social equity, is viewed as a promising solution. The paper reviews the concept and international applications of urban regeneration and explores challenges in Egypt's Ashwaeyat growth. It proposes a more comprehensive approach and discusses urban regeneration's potential for addressing Cairo's informal settlements.","impoverished, infrastructural scarcity, disorderly",Negative,No,"sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Science Direct
668,II,SIAMA PHILBERT,Journal,"Urban expansion and the environmental effects of informal settlements on the outskirts of Xalapa city, Veracruz, Mexico","G Benítez, A Pérez-Vázquez",Squatter Settlements,2012,South American,South American,Abstract,"This paper explores urban growth in Xalapa, Mexico, focusing on informal settlements as a threat to conservation. By 2007, 90% of the land was altered by human activity, with 54% occupied by informal settlements. The cloud forest covered just 7.6%, endangered by these settlements. Factors like low income, urban planning gaps, and limited available land drive settlement in unsuitable areas, causing land degradation and urban deterioration, endangering the city's sustainability.","threat, dangerous, problematic,disorderly, disorganised",Negative,No,"sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Sage Journals
669,II,SIAMA PHILBERT,Journal,"Housing quality in informal settlements and urban upgrading in Ibadan, Nigeria (A case study of Apete in Ibadan)",FL Amao,Squatter Settlements,2012,African,African,Abstract,"This paper investigates the problems of informal settlements like urbanization and poverty, emphasizing their negative effects on health and housing quality. It calls for community involvement in urban upgrading and suggests government, private, and community efforts to prevent further decay and promote sustainable development.","impoverished, housing inequality, disorderly, disorganised, infrastructural scarcity",Negative,No,"sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,CF
670,II,SIAMA PHILBERT,Journal,Pacific urbanisation and the rise of informal settlements: Trends and implications from Port Moresby,P. Jones,Squatter Settlements,2012,North American,North American,Abstract,"Urbanization in the Pacific is increasing, leading to urban poverty and informal settlements particularly in Port Moresby, the region's largest city with around 1 million residents. This article explores why informal settlements are not a development priority and how to address this issue, drawing from literature and fieldwork in 2009-2010.","disoderly, disorganised, congested settlements, opportunity-rich",Negative,No,"sampling, interviewing, literature review",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps","Slum upgrading, livelihood iumprovement",-,,Taylor & Francis Online
671,II,SIAMA PHILBERT,Journal,Introducing a model of cardiovascular prevention in Nairobi's slums by integrating a public health and private-sector approach: the SCALE-UP study,"van de Vijver S,Oti S,Tervaert TC,Hankins C,Kyobutungi C,Gomez GB,Brewster L,Agyemang C,Lange J",Slums,2013,European,European,Abstract,"The article discusses the development and introduction of a model for cardiovascular disease (CVD) prevention in the slums of Nairobi, with a focus on integrating public health and private sector approaches. The primary concern is the rising incidence of CVD in sub-Saharan Africa (SSA), particularly in slum settlements where access to healthcare is limited. The model, developed through collaboration between the Amsterdam Institute for Global Health and Development (AIGHD), the African Population and Health Research Center (APHRC), and the Boston Consulting Group (BCG), aims to address this health challenge by combining various components, such as community awareness, home-based screening, patient and provider incentives, and adherence support.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,"sampling, interviewing",No,Diagnostic,"Sanitation,health concerns","planning, policy gaps","Improvement of life,livelihood improvement",-,,http://dx.doi.org/10.3402/gha.v6i0.22510
672,II,SIAMA PHILBERT,Journal,Environmental determinants of cholera outbreaks in inland africa: A systematic review of main transmission foci and propagation routes,"Rebaudet S,Sudre B,Faucher B,Piarroux R",Slums,2013,African,African,Abstract,"Cholera is generally regarded as the prototypical waterborne and environmental disease. In Africa, available studies are scarce, and the relevance of this disease paradigm is questionable. Cholera outbreaks have been repeatedly reported far from the coasts: from 2009 through 2011, three-quarters of all cholera cases in Africa occurred in inland regions. Such outbreaks are either influenced by rainfall and subsequent floods or by drought-and water-induced stress. Their concurrence with global climatic events has also been observed. In lakes and rivers, aquatic reservoirs of Vibrio cholerae have been evocated. However, the role of these reservoirs in cholera epidemiology has not been established. Starting from inland cholera-endemic areas, epidemics burst and spread to various environments, including crowded slums and refugee camps. Human displacements constitute a major determinant of this spread. Further studies are urgently needed to better understand these complex dynamics, improve water and sanitation efforts, and eliminate cholera from Africa. Â© 2013 The Author.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health","Slum upgrading,livelihood improvement",-,,http://dx.doi.org/10.1093/infdis/jit195
673,II,SIAMA PHILBERT,Journal,From bulldozing to housing rights: Reducing vulnerability and improving health in African slums,"Mohindra KS,Schrecker T",Slums,2013,Asian,Asian,Abstract,"Forced evictions heighten vulnerability among slum dwellers who already face multiple risks of ill health. They constitute a well-documented violation of economic and social rights and are reaching epidemic proportions in sub-Saharan Africa as economic globalization creates and strengthens incentives for forced evictions. We describe evictions in the slums of four African metropolitan areas: Accra (Ghana), Lagos (Nigeria), Luanda (Angola) and Nairobi (Kenya). We survey diverse strategies used in responding to forced evictions and outline the challenges and barriers encountered. We conclude that the international human rights framework offers an important approach for protecting the health of vulnerable populations. Â© The Author(s) 2012.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health",-,-,,http://dx.doi.org/10.1177/1757975912462425
674,II,SIAMA PHILBERT,Journal,A community-based intervention for primary prevention of cardiovascular diseases in the slums of Nairobi: The SCALE UP study protocol for a prospective quasi-experimental community-based trial,"Oti SO,van de Vijver SJ,Kyobutungi C,Gomez GB,Agyemang C,van Charante EP,Brewster LM,Hendriks ME,Schultsz C,Ettarh R,Ezeh A,Lange J",Slums,2013,African,African,Abstract,"Background: The burden of cardiovascular disease is rising in sub-Saharan Africa with hypertension being the main risk factor. However, context-specific evidence on effective interventions for primary prevention of cardiovascular diseases in resource-poor settings is limited. This study aims to evaluate the feasibility and cost-effectiveness of one such intervention-the "" Sustainable model for cardiovascular health by adjusting lifestyle and treatment with economic perspective in settings of urban poverty"". Methods/Design: Design: A prospective quasi-experimental community-based intervention study.Setting: Two slum settlements (Korogocho and Viwandani) in Nairobi, Kenya.Study population: Adults aged 35 years and above in the two communities.Intervention: The intervention community (Korogocho) will be exposed to an intervention package for primary prevention of cardiovascular disease that comprises awareness campaigns, household screening for cardiovascular diseases risk factors, and referral and treatment of people with high cardiovascular diseases risk at a primary health clinic. The control community (Viwandani) will continue accessing the usual standard of care for primary prevention of cardiovascular diseases in Kenya.Data: Demographic and socioeconomic data; anthropometric and clinical measurements including blood pressure. Population-based data will be collected at the baseline and endline-12 months after implementing the intervention. These data will be collected from a random sample of 1,610 adults aged 35 years and above in the intervention and control sites at both baseline and endline. Additionally, operational (including cost) and clinic-based data will be collected on an ongoing basis.Main outcomes: (1) A Positive difference in the change in the proportion of the intervention versus control study populations that are at moderate or high risk of cardiovascular disease; (2) a difference in the change in mean systolic blood pressure in the intervention versus control study populations; (3) the net cost of the complete intervention package per disability-adjusted life year gained.Analysis: Primary outcomes comparing pre- and post-, and operational data will be analyzed descriptively and "" impact"" of the intervention will be calculated using double-difference methods. We will also conduct a cost-effectiveness analysis of the intervention using World Health Organization guidelines.Discussion: The outcomes of the study will be disseminated to local policy makers and health planners.Trial registration: Current controlled trials ISRCTN84424579. Â© 2013 Oti et al.; licensee BioMed Central Ltd.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health","Slum upgrading,livelihood improvement",-,,http://dx.doi.org/10.1186/1745-6215-14-409
675,II,SIAMA PHILBERT,Journal,International Development Working paper Series 2013 Theory and Evidence from Sub-Saharan Africa The Political Economy of Slums: Theory and Evidence from Sub-Saharan Africa,Fox S,Slums,2013,North American,North American,Abstract,"Over 800 million people in Europeanlive in slum conditions, although there is wide variation in 'slum incidence' across countries. To account for the scale and diversity of the slum phenomenon, I test a 'disjointed modernization' theory using OLS regression analysis and find that 70% of contemporary variation in slum incidence is explained by demographic, economic and institutional factors. Focussing on sub-Saharan Africa, divergent urban development trajectories are traced back to the colonial era and mechanisms of path dependency are identified-namely the emergence of status quo interests and the rise of an anti-urbanization bias in development discourse.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health",-,-,,
676,II,SIAMA PHILBERT,Journal,Financing of sanitation services in the slums of Kampala and Dar es Salaam,"Isunju JB,Etajak S,Mwalwega B,Kimwaga R,Atekyereza P,Bazeyo W,Ssempebwa JC",Slums,2013,African,African,Abstract,"This paper presents an assessment of the extent and conditions under which private financing can be a realistic approach for sanitation in slums. It is based on a cross-sectional study comparing two slum communities in East Africa, where 250 households from Bwaise III in Kampala, Uganda and 379 households from Temeke in Dar es Sa-laam, Tanzania were interviewed in 2010. Also, 10 key-informant interviews and 8 focus group discussions were conducted in addition to field observations. Findings show that majority (85%) of households used unimproved, private-shared pit latrines. These privately owned latrines had many structural shortfalls besides poor opera-tion and maintenance while the public latrines provided by third-party were structurally sound but were underutilized in residential slum neigh-borhoods. This is attributed to the presence free or at least cheaper alternatives which the com-munity members preferred instead of paying per-visit user-fees. For the few who were willing to pay, willingness to pay was Positively asso-ciated with the presence of a facility User com-mittee and having been sensitized. In this con-text, a combination of these factors made cost recovery as well as operation and maintenance very minimal. The poor status of privately owned shared pit latrines matched the limited income levels of households. Similarly, cost recovery for public facilities was dependent on the num-ber of users who were willing to pay: the more the users, the more the cost recovery. A combi-nation of private and public financing is thus necessary to fund different but complementary aspects of sanitation in slums.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health",-,-,,http://dx.doi.org/10.4236/health.2013.54104
677,II,SIAMA PHILBERT,Journal,A successful slum upgrade in Durban: A case of formal change andinformal continuity,Patel K,Slums,2013,Asian,Asian,Abstract,"In situ slum upgrades implemented through community participation are widely considered global best practice in efforts to significantly improve the lives of at least 100 million shack dwellers. This paper scrutinises the process and impact of community participation in a slum upgrade in Durban. Based on data from an ethnographic study of Zwelisha, a newly upgraded settlement north of Durban, South Africa, this paper presents a nuanced analysis of the upgrade process and the role of community participation in achieving successful outcomes in terms of significant improvement to tenure security and wellbeing (as defined by Zwelisha's residents). The analysis shows that successful outcomes are intrinsically tied to the manner in which the upgrade process is implemented. The paper argues the formal changes that result in successful outcomes are possible only because of informal continuities; specifically, the continued and consolidated power and influence of the local community development committee following upgrade. While the paper frames the continuity of informal power relations as important to successful outcomes for wellbeing, the findings can also be read as a tale of caution of how the state's approach to community participation in slum upgrades may consolidate and legitimise informal power relations that may not be necessarily benevolent. Â© 2013 The Author.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health",-,-,,http://dx.doi.org/10.1016/j.habitatint.2013.05.005
678,II,SIAMA PHILBERT,Journal,"A population-based survey of prevalence of diabetes and correlates in an urban slum community in Nairobi, Kenya","Ayah R,Joshi MD,Wanjiru R,Njau EK,Otieno CF,Njeru EK,Mutai KK",Slums,2013,African,African,Abstract,"Background: Urban slum populations in Africa continue to grow faster than national populations. Health strategies that focus on non-communicable diseases (NCD) in this segment of the population are generally lacking. We determined the prevalence of diabetes and associated cardiovascular disease (CVD) risk factors correlates in Kibera, Nairobi's largest slum. Methods. We conducted a population-based household survey utilising cluster sampling with probability proportional to size. Households were selected using a random walk method and consenting residents aged 18 years and above were recruited. The WHO STEPS instrument was administered. A random capillary blood sugar (RCBS) was obtained; known persons with diabetes and subjects with a RCBS >11.1 had an 8 hours fasting blood sugar (FBS) drawn. Diabetes was defined as a RCBS of â¥ 11.1 mmol/l and a FBS of â¥ 7.0 mmol/l, or a prior diagnosis or receiving diabetes drug treatment. Results: Out of 2061 enrolled; 50.9% were males, mean age was 33.4 years and 87% had a minimum of primary education. Only 10.6% had ever had a blood sugar measurement. Age adjusted prevalence of diabetes was 5.3% (95% CI 4.2-6.4) and prevalence increased with age peaking at 10.5% (95% CI 6.8-14.3%) in the 45-54 year age category. Diabetes mellitus (DM) correlates were: 13.1% smoking, 74.9% alcohol consumption, 75.7% high level of physical activity; 16.3% obese and 29% overweight with higher rates in women.Among persons with diabetes the odds of obesity, elevated waist circumference and hypertension were three, two and three fold respectively compared to those without diabetes. Cardiovascular risk factors among subjects with diabetes were high and mirrored that of the entire sample; however they had a significantly higher use of tobacco. Conclusions: This previously unstudied urban slum has a high prevalence of DM yet low screening rates. Key correlates include cigarette smoking and high alcohol consumption. However high levels of physical activity were also reported. Findings have important implications for NCD prevention and care. For this rapidly growing youthful urban slum population policy makers need to focus their attention on strategies that address not just communicable diseases but non communicable diseases as well. Â© 2013 Ayah et al.; licensee BioMed Central Ltd.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Diagnostic,Conceptualization of slums,"policy gaps, planning,public health",-,-,,http://dx.doi.org/10.1186/1471-2458-13-371
